ID,Floy tag number,Date tagged,Release Time,Trap ID,Zone,Trap depth (m),Floy reward amount,Total length (cm),Weight (g),Release location,Notes,Recapture date,Report date,Fate,Method,Reported location,Reported length,Reported weight,Photo verification Y/N,Return/report notes
1,7037,5/31/22,12:12,CARP-192,2,7.5,100,85,3850,CARP-192,,,,,,,,,,
2,7199,5/31/22,12:18,CARP-445,2,7,0,62,3350,CARP-445,milky left eye lens,,,,,,,,,
3,7036,5/31/22,11:15,CARP-784,2,6.1,100,74,3450,CARP-784,,,,,,,,,,
4,7197,5/31/22,11:53,CARP-82,2,7.7,0,59,1550,CARP-82,,,,,,,,,,
5,7034,5/31/22,10:01,CARP-834,2,10.4,100,72.5,2850,CARP-834,,,,,,,,,,
6,7194,5/31/22,9:23,CARP-855,2,4.8,0,60.5,1050,CARP-855,Retagged (first tag fell off),,,,,,,,,
7,7055,5/31/22,9:23,CARP-855,2,4.8,100,70.5,2550,CARP-855,,,,,,,,,,
8,7195,5/31/22,10:19,CARP-923,2,6.6,0,76,3750,CARP-923,,,,,,,,,,
9,7196,5/31/22,11:21,CARP-963,2,8.1,0,68,3350,CARP-963,,,,,,,,,,
10,7201,6/1/22,9:32,CARP-12,3,8.9,0,89,4050,CARP-12,,,,,,,,,,
11,7040,6/1/22,9:32,CARP-12,3,8.9,100,71,2600,CARP-12,,,,,,,,,,
12,7200,6/1/22,9:07,CARP-141,3,9.8,0,61,1950,CARP-141,,,,,,,,,,
13,7038,6/1/22,9:07,CARP-141,3,9.8,100,77,3050,CARP-141,,,,,,,,,,
14,7461,6/1/22,11:25,CARP-22,3,3.1,0,54,900,CARP-22,,,,,,,,,,
15,7205,6/1/22,10:46,CARP-344,3,9.3,0,68,3450,CARP-344,,,,,,,,,,
16,7043,6/1/22,10:46,CARP-344,3,9.3,100,66,2250,CARP-344,,6/9/22,6/23/22,harvested,setline,NA,NA,1350,Y,setline pulled at 9pm. capture location may have been provided in discussion w/ Nikolaus(?)
17,7045,6/1/22,11:35,CARP-371,3,9.7,100,70.5,1950,CARP-371,,,,,,,,,,
18,7044,6/1/22,11:16,CARP-379,3,7.1,100,68.5,2350,CARP-379,,6/2/23,6/2/23,released,cod trap ,CARP5-Z4-216,72,2550,NA,"Recaptured by research team almost exactly 1yr post-release! released Z3, recaptured in Z4 (adjacent zone) temp 5.8C"
19,7462,6/1/22,11:56,CARP-423,3,9.2,0,79,5000,CARP-423,bottomed-out 5kg scale,,,,,,,,,
20,7203,6/1/22,10:25,CARP-506,3,6.7,0,76,3450,CARP-506,,,,,,,,,,
21,7042,6/1/22,10:25,CARP-506,3,6.7,100,73.5,2500,CARP-506,,,,,,,,,,
22,7202,6/1/22,9:50,CARP-564,3,9.9,0,60.5,1450,CARP-564,,,,,,,,,,
23,7046,6/1/22,12:10,CARP-671,3,10.2,100,81.5,3800,CARP-671,,,,,,,,,,
24,7463,6/1/22,12:10,CARP-671,3,10.2,0,57,1100,CARP-671,,,,,,,,,,
25,7041,6/1/22,10:00,CARP-680,3,4.7,100,59,1350,CARP-680,,,,,,,,,,
26,7206,6/1/22,10:56,CARP-95,3,8.9,0,60,1550,CARP-95,,,,,,,,,,
27,7465,6/2/22,11:12,CARP-132,4,4.1,0,70.5,2850,CARP-132,,6/15/23,6/15/23,released,cod trap ,CARP7-Z4-78,76,3200,NA,"Recaptured by research team at trap depth 10.4m, temp 8.8C. Same zone as release in 2022."
28,7049,6/2/22,11:19,CARP-249,4,2.9,100,53.5,1250,CARP-249,,,,,,,,,,
29,7464,6/2/22,10:51,CARP-305,4,9.5,0,87.5,3350,CARP-305,,,,,,,,,,
30,7466,6/2/22,11:46,CARP-328,4,8.2,0,69,1600,CARP-328,,,,,,,,,,
31,7050,6/2/22,11:59,CARP-339,4,9.9,100,92,5000,CARP-339,bottomed-out 5kg scale,,,,,,,,,
32,7047,6/2/22,10:20,CARP-647,4,9.4,100,60,1650,CARP-647,,,,,,,,,,
33,7048,6/2/22,11:05,CARP-994,4,4.8,100,55,1350,CARP-994,,,,,,,,,,
34,7053,6/3/22,10:41,CARP-375,1,4,100,63.5,1600,CARP-375,,,,,,,,,,
35,7467,6/3/22,9:27,CARP-449,1,10.3,0,74,2850,CARP-449,,,,,,,,,,
36,7469,6/3/22,10:31,CARP-71,1,9.6,0,60,1400,CARP-71,,,,,,,,,,
37,7052,6/3/22,10:19,CARP-88,1,5.7,100,60,1450,CARP-88,,5/21/23,5/23/23,harvested,setline,Birch Island - north side,NA,NA,Y,"tagged in Z1, captured in Z2"
38,7051,6/3/22,9:34,CARP-891,1,6.4,100,77,3750,CARP-891,,,,,,,,,,
39,7468,6/3/22,9:34,CARP-891,1,6.4,0,62.5,1450,CARP-891,,,,,,,,,,
40,7371,6/21/22,9:05,CARP2-184,2,7.9,100,64,1750,CARP2-184,,,,,,,,,,
41,7484,6/21/22,11:10,CARP2-221,2,9.5,0,56,1000,CARP2-221,,,,,,,,,,
42,7485,6/21/22,11:32,CARP2-351,2,8,0,72.5,2850,CARP2-351,,,,,,,,,,
43,7376,6/21/22,11:32,CARP2-351,2,8,100,63.5,1750,CARP2-351,,6/9/23,6/9/23,released,cod trap ,CARP6-Z1-300,67,2000,NA,Recaptured by research team in Zone 1 (was released in zone 2)
44,7483,6/21/22,9:47,CARP2-393,2,6.3,0,75.5,3200,CARP2-393,,,,,,,,,,
45,7482,6/21/22,9:25,CARP2-397,2,8.3,0,59,1150,CARP2-397,,,,,,,,,,
46,7372,6/21/22,9:25,CARP2-397,2,8.3,100,54.5,1100,CARP2-397,,6/14/23,6/14/23,released,cod trap ,CARP7-Z3-30,57.5,1400,NA,"recaptured by research team. Trap depth 10.0m, temp 7.8C. Was originally released in Z2, recaptured in Z3."
47,7375,6/21/22,11:15,CARP2-545,2,10,100,55.5,1850,CARP2-545,,,,,,,,,,
48,7374,6/21/22,11:02,CARP2-592,2,5,100,55,1150,CARP2-592,,5/30/23,5/30/23,released,cod trap ,CARP5-Z2-210,57,1300,NA,Recaptured by research team in Zone 2 (same zone as original capture) depth 8.5m temp 6.8C
49,7373,6/21/22,9:35,CARP2-594,2,9.3,100,75,3250,CARP2-594,,,,,,,,,,
50,7561,6/22/22,9:08,CARP2-307,3,9.9,0,60.5,1150,CARP2-307,,,,,,,,,,
51,7380,6/22/22,10:00,CARP2-449,3,9.7,100,81.5,4350,CARP2-449,,,,,,,,,,
52,7566,6/22/22,10:00,CARP2-449,3,9.7,0,64,2050,CARP2-449,,,,,,,,,,
53,7564,6/22/22,9:43,CARP2-490,3,9.4,0,75,2250,CARP2-490,,,,,,,,,,
54,7379,6/22/22,9:43,CARP2-490,3,9.4,100,59,1350,CARP2-490,,,,,,,,,,
55,7565,6/22/22,9:43,CARP2-490,3,9.4,0,52,700,CARP2-490,,,,,,,,,,
56,7562,6/22/22,9:35,CARP2-495,3,10,0,61.5,1400,CARP2-495,,,,,,,,,,
57,7378,6/22/22,9:35,CARP2-495,3,10,100,50,850,CARP2-495,,,,,,,,,,
58,7381,6/22/22,10:38,CARP2-5,3,6,100,64.5,1650,CARP2-5,,7/31/22,8/18/22,harvested,NA,near Willow Island (Zone 3),71,1800,NA,link to capture location provided: https://maps.app.goo.gl/wi8fQdwGbSMGdAD56?g_st=i
59,7377,6/22/22,9:18,CARP2-532,3,7,100,65,1550,CARP2-532,,,,,,,,,,
60,7567,6/22/22,10:19,CARP2-536,3,8.3,0,65,1950,CARP2-536,"Net caught on operculum but was dislodged (there was a hole in the net, which we then repaired) and burbot seemed ok. Tagged with no-reward",,,,,,,,,
61,7383,6/22/22,11:30,CARP2-634,3,9.8,100,72,2550,CARP2-634,,,,,,,,,,
62,7570,6/22/22,11:49,CARP2-72,3,9.4,0,60,1050,CARP2-72,,6/23/22,6/23/22,released,cod trap ,CARP2-548,60,1050,NA,"Recaptured by research team 1 day following initial capture/tag/release. Tagged in Z2, recaptured in Z3"
63,7568,6/22/22,10:56,CARP2-86,3,5,0,68.5,1850,CARP2-86,,6/8/23,6/9/23,harvested,setline,"midway between Birch and Spirea Island, 40ft depth",65-70cm,NA,Y,Sampled other burbot from these anglers (otoliths and lengths / weights)
64,7382,6/22/22,10:56,CARP2-86,3,5,100,59,1500,CARP2-86,,,,,,,,,,
65,7569,6/22/22,10:56,CARP2-86,3,5,0,61.5,1450,CARP2-86,,,,,,,,,,
66,7571,6/23/22,10:00,CARP2-145,4,10.1,0,67.5,1700,CARP2-145,,,,,,,,,,
67,7385,6/23/22,10:00,CARP2-145,4,10.1,100,49,1050,CARP2-145,"Full of fish, had trouble swimming. Held in trap (at original location) an additional ~1.5 hours before release",7/1/23,7/1/23,harvested,setline,near Black Spruce Island,54,1050,photos taken by angler during survey,recovered via Creel Survey
68,7387,6/23/22,11:10,CARP2-201,4,10.2,100,64,1350,CARP2-201,,,,,,,,,,
69,7576,6/23/22,11:10,CARP2-201,4,10.2,0,61,1350,CARP2-201,,,,,,,,,,
70,7580,6/23/22,12:35,CARP2-247,4,9.5,0,81,3350,CARP2-247,,,,,,,,,,
71,7391,6/23/22,12:35,CARP2-247,4,9.5,100,57.5,1400,CARP2-247,,,,,,,,,,
72,7577,6/23/22,11:42,CARP2-273,4,8.5,0,51.5,900,CARP2-273,,,,,,,,,,
73,7572,6/23/22,10:16,CARP2-361,4,10.2,0,58.5,1650,CARP2-361,,,,,,,,,,
74,7578,6/23/22,12:15,CARP2-370,4,9.5,0,59.5,1350,CARP2-370,,,,,,,,,,
75,7390,6/23/22,12:27,CARP2-389,4,9.7,100,58,1250,CARP2-389,,,,,,,,,,
76,7388,6/23/22,11:35,CARP2-438,4,9.9,100,66.5,2300,CARP2-438,,,,,,,,,,
77,7386,6/23/22,10:31,CARP2-448,4,9.7,100,63.5,1800,CARP2-448,,,,,,,,,,
78,7575,6/23/22,10:31,CARP2-448,4,9.7,0,58.5,1400,CARP2-448,,,,,,,,,,
79,7389,6/23/22,11:51,CARP2-453,4,9.6,100,62,1400,CARP2-453,,,,,,,,,,
80,7581,6/23/22,12:51,CARP2-458,4,10,0,73.5,3350,CARP2-458,,,,,,,,,,
81,7392,6/23/22,12:51,CARP2-458,4,10,100,66,NA,CARP2-458,Released before remembering to measure weight,,,,,,,,,
82,7582,6/23/22,12:51,CARP2-458,4,10,0,56,1050,CARP2-458,,,,,,,,,,
83,7393,6/23/22,13:05,CARP2-464,4,9.7,100,57,1200,CARP2-464,,,,,,,,,,
84,7384,6/23/22,9:25,CARP2-548,4,10,0,68.5,2050,CARP2-548,,,,,,,,,,
86,7587,6/24/22,10:05,CARP2-33,1,7.3,0,66,1600,CARP2-33,,,,,,,,,,
87,7398,6/24/22,9:53,CARP2-384,1,7.6,100,56.5,1300,CARP2-384,,,,,,,,,,
88,7394,6/24/22,9:04,CARP2-41,1,8.6,100,71,2650,CARP2-41,,,,,,,,,,
89,7585,6/24/22,9:04,CARP2-41,1,8.6,0,59,1300,CARP2-41,,,,,,,,,,
90,7586,6/24/22,9:44,CARP2-466,1,9.3,0,91,5050,CARP2-466,,,,,,,,,,
91,7396,6/24/22,9:12,CARP2-551,1,9,100,70.5,2300,CARP2-551,,,,,,,,,,
92,7583,6/24/22,8:43,CARP2-613,1,9.4,0,74,2400,CARP2-613,,,,,,,,,,
93,7400,10/25/22,9:33,CARP3-Z2-420,2,6.5,100,92.1,5500,CARP3-Z2-420,,,,,,,,,,
94,7589,10/25/22,9:58,CARP3-Z2-392,2,3.2,0,81.8,3500,CARP3-Z2-392,,,,,,,,,,
95,7401,10/25/22,10:00,CARP3-Z2-120,2,7.7,100,81.2,4100,CARP3-Z2-120,,,,,,,,,,
96,7590,10/25/22,10:38,CARP3-Z2-167,2,9.1,0,84.1,4600,CARP3-Z2-167,,,,,,,,,,
97,7402,10/25/22,11:43,CARP3-Z2-393,2,9.8,100,71.3,2600,CARP3-Z2-393,,,,,,,,,,
98,7592,10/25/22,12:12,CARP3-Z2-207,2,3,0,93.5,5900,CARP3-Z2-207,"Pulled up on illegal, unmarked set-line in apparently good condition (active, fighting/swimming). Released at line location",,,,,,,,,
99,7403,10/26/22,9:07,CARP3-Z3-61,3,7,100,89.8,5300,CARP3-Z3-61,,5/20/23,6/1/23,harvested,,,,,,waiting for more details from angler
100,7593,10/26/22,9:15,CARP3-Z3-61,3,7,0,60.2,1200,CARP3-Z3-61,,,,,,,,,,
101,7404,10/26/22,9:40,CARP3-Z3-122,3,3.3,100,88.6,4500,CARP3-Z3-122,,,,,,,,,,
102,7595,10/27/22,10:00,CARP3-Z4-410,4,9.7,0,54.8,1050,CARP3-Z4-410,,6/7/23,6/7/23,released,cod trap ,CARP6-Z3-61,56,1100,NA,Recaptured by research team in Zone 3 (was originally released in zone 4)
103,7405,10/27/22,11:22,CARP3-Z4-128,4,10,100,70.2,2200,CARP3-Z4-128,,,,,,,,,,
104,7597,10/27/22,11:24,CARP3-Z4-128,4,10,0,54.2,1100,CARP3-Z4-128,,,,,,,,,,
105,7406,10/27/22,12:31,CARP3-Z4-194,4,8.5,100,74.9,2700,CARP3-Z4-194,,,,,,,,,,
106,7598,10/28/22,8:50,CARP3-Z1-283,1,3.4,0,92.2,5500,CARP3-Z1-283,,,,,,,,,,
107,7407,10/28/22,8:57,CARP3-Z1-364,1,2.9,100,56.2,950,CARP3-Z1-364,,,,,,,,,,
108,7599,10/28/22,9:23,CARP3-Z1-344,1,3.3,0,88.2,5300,CARP3-Z1-344,,,,,,,,,,
109,7408,10/28/22,9:30,CARP3-Z1-286,1,7.2,100,60.8,1650,CARP3-Z1-286,,,,,,,,,,
110,7600,10/28/22,9:32,CARP3-Z1-286,1,7.2,0,62.9,1300,CARP3-Z1-286,,,,,,,,,,
111,7409,10/28/22,9:35,CARP3-Z1-286,1,7.2,100,52.2,950,CARP3-Z1-286,,,,,,,,,,
112,7601,10/28/22,9:40,CARP3-Z1-404,1,5.9,0,59.1,1200,CARP3-Z1-404,,,,,,,,,,
113,7410,10/28/22,10:27,CARP3-Z1-417,1,5.3,100,71.3,2350,CARP3-Z1-417,,,,,,,,,,
114,7602,10/28/22,10:41,CARP3-Z1-330,1,10,0,93.7,6300,CARP3-Z1-330,,,,,,,,,,
